SalesOrderId,SalesOrderDetailsID,carrierTrackingNumber,OrderQTY,ProductID,SpecialOfferID,UnitPrice,UnitPriceDiscount,LineTotal,rowguid,ModifiedData
74763,120482,NULL,1,708,1,34.99,0,34.99,EFD6DEEF-9DDB-4A24-9DB6-31B7A2E4A146,19/06/2014
74763,120483,NULL,1,715,1,49.99,0,49.99,0F4F2E9B-D402-4203-B479-8985AA269535,19/06/2014
74764,120484,NULL,1,929,1,29.99,0,29.99,F0EF7375-9DAE-4D3C-AA87-210A1B11611C,19/06/2014
74764,120485,NULL,1,921,1,4.99,0,4.99,8AC9873C-18B2-4A64-9A79-69D9C2A48D86,19/06/2014
74764,120486,NULL,1,707,1,34.99,0,34.99,4BE418D0-D959-423A-8BDA-9B95ED5CF472,19/06/2014
74765,120487,NULL,1,871,1,9.99,0,9.99,266DFBB3-8940-450A-9AC8-17725ACF502A,19/06/2014
74765,120488,NULL,1,870,1,4.99,0,4.99,49AD1A04-D0B8-495E-9484-A7F1BDFCF1F5,19/06/2014
74765,120489,NULL,1,882,1,53.99,0,53.99,F7FEC140-A3D9-49ED-A600-3411CAA17CF6,19/06/2014
74766,120490,NULL,1,871,1,9.99,0,9.99,F531F3D1-B9C2-420E-8ED7-AD9539AEAAE2,19/06/2014
74766,120491,NULL,1,880,1,54.99,0,54.99,1932D256-2C15-4D51-8873-AE035B25EB5F,19/06/2014
74766,120492,NULL,1,877,1,7.95,0,7.95,192730E7-C197-4C9F-BAB6-1476FE7038AD,19/06/2014
74767,120493,NULL,1,870,1,4.99,0,4.99,A276CF38-2966-4928-A2A9-0993F3FE0B24,19/06/2014
74767,120494,NULL,1,708,1,34.99,0,34.99,DC569A25-24EC-44EE-8FAC-2E497DCE1ED0,19/06/2014
74768,120495,NULL,1,921,1,4.99,0,4.99,D09DCB1E-41CC-41AD-BB27-19CBB62BC865,19/06/2014
74768,120496,NULL,1,873,1,2.29,0,2.29,A49917F4-5D06-41CB-AE11-1884761843A5,19/06/2014
74769,120497,NULL,1,921,1,4.99,0,4.99,70F4516F-2CC6-49BE-83DB-984E4A5DDE88,19/06/2014
74769,120498,NULL,1,873,1,2.29,0,2.29,BD3BF5D2-4CD4-481B-B195-5825A453F3A1,19/06/2014
74770,120499,NULL,1,878,1,21.98,0,21.98,97E4F657-7C0A-4319-9911-12961998703A,19/06/2014
74770,120500,NULL,1,871,1,9.99,0,9.99,395D14BA-0C5F-469E-A2D8-473A170F33CA,19/06/2014
74770,120501,NULL,1,858,1,24.49,0,24.49,5D43AFCF-421F-446F-BB5A-9F0948AEF522,19/06/2014
74770,120502,NULL,1,870,1,4.99,0,4.99,8DDC54EA-9F59-4878-8013-E73898D13963,19/06/2014
74771,120503,NULL,1,921,1,4.99,0,4.99,70BDDB5D-1AB9-46AA-A9E6-D33EA165A1A3,19/06/2014
74771,120504,NULL,1,928,1,24.99,0,24.99,218C430F-C386-45FA-B436-43115C4AFCAC,19/06/2014
74772,120505,NULL,1,921,1,4.99,0,4.99,418C36E3-6C08-4238-B2A7-A6DF8E9F8564,19/06/2014
74772,120506,NULL,1,929,1,29.99,0,29.99,8430BE02-C2DC-47F4-BB83-EF91CE00CE8A,19/06/2014
74772,120507,NULL,1,878,1,21.98,0,21.98,41F0E3DA-FF73-44EE-AE46-E3E9AC338985,19/06/2014
74772,120508,NULL,1,858,1,24.49,0,24.49,D8F534CF-E288-448A-8647-B4B4E94750BC,19/06/2014
74772,120509,NULL,1,713,1,49.99,0,49.99,F4A82AB1-3120-46E5-ADED-EB838B26624C,19/06/2014
74773,120510,NULL,1,870,1,4.99,0,4.99,8C90753D-E399-4BC2-A715-613D5C424EA0,19/06/2014
74773,120511,NULL,1,875,1,8.99,0,8.99,EE3E8157-B67E-44B5-B89D-A61A30E194E2,19/06/2014
74774,120512,NULL,1,932,1,24.99,0,24.99,CB75DACF-EAB0-4F59-8CE9-6FE5BAA4D1EC,19/06/2014
74774,120513,NULL,1,922,1,3.99,0,3.99,89DCB796-8F3F-46F9-ABBE-D7B39A175072,19/06/2014
74774,120514,NULL,1,714,1,49.99,0,49.99,725EB946-CC88-4ED9-BBE9-565DC31C939A,19/06/2014
74775,120515,NULL,1,934,1,28.99,0,28.99,C6EA3282-9A38-4399-9D77-D05159D83CD5,19/06/2014
74775,120516,NULL,1,923,1,4.99,0,4.99,710036C0-54AE-4A31-A5E9-FE2E2A12D9E8,19/06/2014
